,TestDates,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,Total
0,2025-04-01,4461604.629951961,1235744.0780481305,1261254.713632508,2537.14069215375,37088502.78587522,347365.8086399079,1483741.3482091047,211354.6223950839,103891.43935898025,7979.273592601735,279.8891001204825,45332517.295770764
1,2025-05-01,4490103.472930441,1181573.7242373703,1251673.4674822793,2350.18807787499,26448743.625546858,348205.7198225189,1480237.9487480572,165338.3497831455,81164.79038831113,8448.020721380672,384.0421552157524,33707142.06825231
2,2025-06-01,4590652.52246302,1177265.3926541922,1250248.3997198169,2518.7515550214657,25459158.937046103,344283.7315397099,1478505.4294868074,77253.46887489491,86536.5072736071,7508.6083109926885,405.9544870726091,32981261.45269645
3,2025-07-01,4258843.963887332,1145427.2699018929,1224738.9947005333,2547.466286345269,27378325.73654713,346793.0940051069,1479433.3644351708,68094.50040605741,95562.08594598972,6993.203143103726,400.8249796538377,35590128.25205279
4,2025-08-01,4312418.531236645,1189961.9687586294,1243553.598364093,2772.956558791351,30875880.553259417,346755.19925780053,1476535.129355514,57838.756447614374,104801.79256053176,7152.427266547684,634.6507390926857,38927246.1232882
5,2025-09-01,4453096.602783103,1192360.7964264941,1212291.8455655836,2329.9450310031602,26184066.778366856,344546.25453111087,1474968.6255300816,58568.87798681579,92809.41531446495,6884.626287979343,718.694951971646,35126891.680073865
6,2025-10-01,4370481.004527075,1136695.1928530976,1181739.4934961388,2863.8208653922975,19872337.187571853,366584.22370139265,1469780.5753857978,58073.142762378986,92014.64063144424,7183.6870144471395,803.5737358564136,30827218.408528037
7,2025-11-01,4331972.373158023,1112156.5441235143,1143037.1375771132,3022.987848840241,16170543.19797356,349917.49642831204,1467128.6104825241,55203.11554230572,91473.7016820913,7073.754015883474,903.957652789262,24798253.751280412
8,2025-12-01,3851546.011890894,1085097.5576923557,1134358.6257594314,2362.902321844804,19855633.50189256,373579.11979133205,1462907.3301054353,70967.21155430333,87478.92717989754,6651.635548877401,848.0206499904052,27821856.048674762
9,2026-01-01,3922401.739839505,1084487.6334870262,1164471.8480500025,2055.5831804915056,34119867.03589031,379270.7861238379,1449809.077329105,54863.556373857835,79440.54271344947,6746.3874386015505,692.4246791004219,40990464.240258686
10,2026-02-01,3761618.5866739713,1105075.5858393968,1128409.3451874065,1933.0229660557006,35425481.85254776,366774.91378827963,1455297.053643439,54484.173696176964,86832.47788153238,11713.144031742571,876.0250405809494,43137386.87072151
11,2026-03-01,3766402.4525873982,1085964.6766659527,1099261.563817232,2714.1732646507667,40787787.59860383,346138.4010744718,1515257.410262993,79020.76490405087,90380.56969776464,6377.545747856838,836.3800924274323,48159426.684212595
12,2026-04-01,4328143.454797761,1176907.888269928,1116842.1019884679,2767.037371262612,38843705.55594438,350097.6529521461,1455438.6306729617,50187.481549037046,81660.43641006153,6650.038400530006,821.5199202373623,47973728.58361335
13,2026-05-01,4334973.403966887,1115418.0067757766,1116500.5527223968,2766.696405037376,23578719.257999297,350774.6720851244,1453118.5095133283,49001.20600474717,64447.563534417044,6194.272566927607,806.1602216642814,32562244.211987533
14,2026-06-01,4300978.35179122,1125787.4350815515,1157821.6305174825,1708.6385151764894,27323256.776010167,349147.02402789256,1453203.4006717806,46979.4049156542,71594.20197723925,6122.24535927358,821.8337158609372,33898352.73654469
15,2026-07-01,4162271.164437652,1124384.37315471,1134457.6568466444,1855.9558731138004,30195109.097373724,349767.1851583922,1441381.9649867448,46352.70493653344,75996.87762806639,5872.0061215192245,935.7082057651303,38007303.95235808
16,2026-08-01,4131956.133304474,1161878.5619768398,1119881.0544464309,2520.7663387683056,29781903.98593553,349364.8995030052,1445643.839617495,45044.63220877461,82859.30304557322,4982.957286275967,1051.2795649957984,37882979.314416505
17,2026-09-01,4288513.154167253,1099922.0567357447,1115594.3732802023,2838.987158643092,27588598.383806515,350356.39500431385,1439002.7993070544,44747.38190834575,79994.48362924365,5992.968941499243,1083.158658914568,35844044.78974716
18,2026-10-01,4228798.5369103765,1073706.2177476566,1069867.9293307362,2907.678062808079,28307993.691923924,351410.95849375596,1433340.82961959,43917.91667780093,70508.80514659501,5740.474152534877,1264.9104898022033,38483735.525314264
19,2026-11-01,4174249.5639158357,1060844.7596985977,1037351.583651023,2473.524346234886,20671249.015216492,357514.56260943844,1434697.6052253062,41519.531930715326,74250.26220851815,5841.4538945120785,1458.1387836357337,29146329.64389149
20,2026-12-01,3678801.237008146,1025308.9355257029,1030680.8287762337,3315.2700016456893,23403945.595610343,358597.89429072256,1433305.6526633,41548.8982967236,72582.18557513114,5584.238461767731,1467.0606919538461,31361142.14661156
21,2027-01-01,3776248.1906169434,1055135.322564592,1108626.6467672014,2412.1950046416137,36667213.76328496,355496.25468476146,1430634.6642106404,38902.76518272801,65229.15469199191,5383.529102320776,1232.2417171031998,43268680.81354176
22,2027-02-01,3559319.931265322,1046609.4457733042,1074999.3773424427,2217.012967745985,39738120.35094856,357252.49561772426,1431848.1989571871,38393.58618862543,70808.63800005129,5845.609385553874,1421.76947222551,47647375.23722607
23,2027-03-01,3674390.2273898656,1010540.9842655557,1011390.8751285663,2833.3272315866016,44443317.33600782,360253.54490582924,1470798.3302582805,63178.45847551491,72542.84149513871,4984.97691740089,1478.2818101406792,51930252.233705625
24,2027-04-01,4139872.940220982,1095957.170314566,1030994.7299967279,2784.46944202505,41619444.35470119,360495.8967036838,1428247.5694596295,34663.6172684835,69132.83467032667,5406.685021699177,1484.7020992399378,50339964.4379718
25,2027-05-01,4215600.809168062,1081956.574526871,1009739.6190781839,2964.6570561158496,26843215.71701124,364358.378696884,1413760.7138840226,33114.8058590592,45980.94195691339,4794.222395884685,1508.6962648071017,34626388.327932656
26,2027-06-01,4255705.759587538,1094711.3680706383,1036988.3877305929,2651.6603138252826,27472966.414472323,358618.9370543822,1420978.985423146,31743.460667859326,53451.834887218094,5255.7880423990355,1708.3033549454606,34727013.09844912
27,2027-07-01,4054237.8590451367,1043535.1478748899,1008819.2161140117,2706.681096538044,33224058.159492582,359127.7485571348,1421046.768106133,31251.52984091111,60135.32873043498,4826.95157818536,1563.6875682189452,41557424.888503455
