TestDates,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,Total,kWh
2025-04-01,4369988.695462579,1225827.291642964,1196035.151458788,2768.105516396186,38960971.628906555,351159.34265683027,1475697.1316757428,203583.10149150417,94716.04901729536,7095.898988364919,580.7017461675284,46217664.46569945,54682824.175631285
2025-05-01,4425342.2425593585,1178897.2566289569,1207246.3026247064,2593.0855483676414,26946483.961492922,349923.04325315985,1478333.7177194399,152393.77068885826,76228.70008640781,7757.073365105211,641.6222168757204,36498311.68250502,43070710.77089154
2025-06-01,4527401.982823756,1189869.1685532152,1224651.0536316382,2716.8669637214693,26668720.85807142,346068.10464509105,1481234.0555746306,58479.41360808363,81262.56420816662,6619.45291050418,671.6838277342729,37125490.40400427,42547148.256052054
2025-07-01,4238160.066748955,1174638.5183113168,1212472.8080639453,2711.304442734666,29194923.578686222,347761.76932080707,1488430.0148441035,51647.299133202665,96030.00742997855,6464.127999099219,570.323532963075,38402511.525447935,44996979.31104172
2025-08-01,4317166.740886735,1227503.3615287892,1239542.378846738,3042.199029221938,31517663.736953247,347660.2883249416,1484420.1854889924,51705.714731719716,105140.71788682925,6883.295650376332,698.1783932862438,39675624.13196449,47627415.540992916
2025-09-01,4431374.990910547,1245225.8781157958,1252702.1975911106,2586.138149744237,27341388.923858,342817.375243877,1491718.0383122042,51770.151231116055,94391.85690260647,6469.699671479988,771.94599518608,37591426.86021803,43713022.853585675
2025-10-01,4402126.794627072,1205263.177177374,1205961.2606574565,3077.02778978712,23564305.166260146,365922.7960275691,1491360.8251266778,53704.34377953384,96149.5260756045,7169.950782208509,804.398064791856,32795928.912895843,38667646.31830429
2025-11-01,4385792.763995076,1192506.2388788133,1190061.4168639062,3165.130122327354,18068810.34783151,350693.1146616576,1495659.3289490629,61507.94404145637,98887.13434261632,6848.076020551433,801.8488534163183,27527924.083029628,32146279.70685538
2025-12-01,3951027.929622678,1183263.7912071217,1217651.7611258803,2583.992268320504,21529649.093134597,364051.48318856943,1496173.3227978162,78870.52344619385,99742.6169582814,6697.6796227422465,726.4157244071346,30247563.3206221,35744364.82891177
2026-01-01,3987682.365577381,1190128.9799719227,1275298.7099710726,2164.147698102603,36009303.657581925,374394.8073794385,1493028.710502823,56016.70907595557,93518.65664104457,6910.017081374916,454.9166296435138,43319293.85617661,49902488.41150314
2026-02-01,3932812.1320244283,1215801.267030323,1246224.7262579787,2164.4820751956754,36800250.86415246,366189.55987052724,1507423.3838669807,56008.46441483824,103866.6732320946,11304.283100601384,552.1373056436822,46276257.85517066,52791443.10700627
2026-03-01,3938089.1314185476,1210344.2104001748,1227894.7529281892,2826.8271728804666,43368686.54163353,339723.7684483419,1541435.1231173417,73067.05236124124,108003.50625754961,7259.371276466329,494.4752076623337,50838362.59424688,59890848.41563825
2026-04-01,4451971.842947652,1325514.5313981283,1279433.6238590193,2840.880092624069,40583242.734844126,343339.69266035035,1512734.5146436556,56240.88378680117,103226.72473575456,7076.2288388091265,449.0970183537269,50271254.94027427,57610611.502290346
2026-05-01,4494906.497380677,1281657.2047806801,1281535.540462411,2915.325410014636,25833017.45338095,344006.956160479,1519770.895795318,55955.643456528385,86870.42453147177,6824.9855024806575,404.8497496874552,35289683.05177298,41027406.23308892
2026-06-01,4471951.114393254,1298478.8059215753,1340611.404334143,1871.0752577466892,29292810.109579206,339460.99631444376,1522179.5244334713,55486.82150074784,96248.96401196523,6755.63322165707,422.17867196952363,38383766.99105225,44343709.29241189
2026-07-01,4353338.963323112,1310251.2088930933,1328197.2158560795,1995.5867164088354,31990695.600329403,339807.3504694443,1520457.2545780372,56330.50092344698,102419.54177101709,6641.291576883164,360.44943109912464,42022776.57815852,49282669.31222365
2026-08-01,4374915.867420129,1345774.1311702016,1334199.620813562,2574.175743862253,31769110.428264163,338591.7645379871,1524845.838340337,55791.62936412587,116121.17577360281,6066.235628588867,427.8615924425861,41518203.097406,48303307.13332682
2026-09-01,4479436.02429812,1302013.5785662222,1345797.7873619704,2834.5213180110004,29861333.200522218,337772.75242618436,1528929.6709775808,57083.9255092744,109599.17125855602,7038.114783776576,463.6472142352674,41200609.415342696,47788460.50592719
2026-10-01,4458302.720308805,1297831.607539699,1310961.091226885,2921.864699063099,32405669.407530136,338744.01802012464,1527776.469756565,57766.56374403628,105651.20225030494,6892.013634451258,737.9590486678014,41219490.20514465,48363458.87619669
2026-11-01,4447730.086245757,1298076.5621525699,1292764.0669614621,2539.890177319285,24013521.386335008,344673.5572008852,1534050.3489375047,57180.19387166514,110178.36617493794,7273.070858047868,658.6923826300689,32942925.92903085,38479974.35881166
2026-12-01,4021802.887713696,1279637.3671241347,1309971.9045639178,3379.9950959614944,27045376.43082226,347948.39319581393,1537142.9059862762,58458.7363119658,115756.69783427064,6852.515403820133,720.2608791611937,35707817.219616964,41658479.53058986
2027-01-01,4119092.7955711987,1312713.3398514418,1395543.912752611,2316.344005264079,38879094.302992746,340858.49769220944,1540893.7110574686,56904.400962689906,107828.49323443515,6927.484039804141,419.1522164313697,48195129.74328075,54652954.24918098
2027-02-01,3904436.196054833,1322819.5779757998,1383069.8714388595,2404.5904885851546,42524883.994512334,339528.6216074337,1548201.8015777587,58258.60557122515,117984.71959457222,7059.146758685736,423.9431212698242,51213265.083919704,59479582.36864229
2027-03-01,4122127.703317549,1308255.6833255256,1330127.164269433,2908.9891468642195,47308975.83029308,340926.0761786536,1592595.7482835408,74378.89112990382,120226.98235465019,6776.899939260719,449.3567553978839,56318236.06442135,65127705.07039079
2027-04-01,4473132.1900344305,1384305.611536979,1375582.6304643806,2660.2136555742227,44709110.75974454,339902.43479275407,1554531.4613129837,56865.83192658896,117700.06003475792,7088.566446299156,427.0796096799116,54230887.25776999,63117272.45896953
2027-05-01,4588544.975439807,1392174.1554246093,1394037.4679232545,2926.7207744991383,29961592.016787015,345944.38157069683,1549329.6778027632,57190.41742756094,97702.65212109959,6988.6604884498865,410.08201903156254,39272821.80494815,45908220.24890645
2027-06-01,4605899.9858393455,1417576.7730169576,1440304.6124469284,2689.8391112034346,29642387.96711701,336530.5024604807,1558613.6838999728,57480.898240050774,106624.94183991781,6837.1992216755425,537.213476581413,40466497.689050995,47205809.44510344
